time;V(/VOUT);V(Net-_D1-K_);
0.0614018;3.61138;1.71352;
0.0615018;3.61581;1.71776;
0.0616018;3.61138;1.71352;
0.0617018;3.61581;1.71776;
0.0618018;3.61138;1.71352;
0.0619018;3.61581;1.71776;
0.0620018;3.61138;1.71352;
0.0621018;3.61581;1.71776;
0.0622018;3.61138;1.71352;
0.0623018;3.61581;1.71776;
0.0624018;3.61138;1.71352;
0.0625018;3.61581;1.71776;
0.0626018;3.61138;1.71352;
0.0627018;3.61581;1.71776;
0.0628018;3.61138;1.71352;
0.0629018;3.61581;1.71776;
0.0630018;3.61138;1.71352;
0.0631018;3.61581;1.71776;
0.0632018;3.61138;1.71352;
0.0633018;3.61581;1.71776;
0.0634018;3.61138;1.71352;
0.0635018;3.61581;1.71776;
0.0636018;3.61138;1.71352;
0.0637018;3.61581;1.71776;
0.0638018;3.61138;1.71352;
0.0639018;3.61581;1.71776;
0.0640018;3.61138;1.71352;
0.0641018;3.61581;1.71776;
0.0642018;3.61138;1.71352;
0.0643018;3.61581;1.71776;
0.0644018;3.61138;1.71352;
0.0645018;3.61581;1.71776;
0.0646018;3.61138;1.71352;
0.0647018;3.61581;1.71776;
0.0648018;3.61138;1.71352;
0.0649018;3.61581;1.71776;
0.0650018;3.61138;1.71352;
0.0651018;3.61581;1.71776;
0.0652018;3.61138;1.71352;
0.0653018;3.61581;1.71776;
0.0654018;3.61138;1.71352;
0.0655018;3.61581;1.71776;
0.0656018;3.61138;1.71352;
0.0657018;3.61581;1.71776;
0.0658018;3.61138;1.71352;
0.0659018;3.61581;1.71776;
0.0660018;3.61138;1.71352;
0.0661018;3.61581;1.71776;
0.0662018;3.61138;1.71352;
0.0663018;3.61581;1.71776;
0.0664018;3.61138;1.71352;
0.0665018;3.61581;1.71776;
0.0666018;3.61138;1.71352;
0.0667018;3.61581;1.71776;
0.0668018;3.61138;1.71352;
0.0669018;3.61581;1.71776;
0.0670018;3.61138;1.71352;
0.0671018;3.61581;1.71776;
0.0672018;3.61138;1.71352;
0.0673018;3.61581;1.71776;
0.0674018;3.61138;1.71352;
0.0675018;3.61581;1.71776;
0.0676018;3.61138;1.71352;
0.0677018;3.61581;1.71776;
0.0678018;3.61138;1.71352;
0.0679018;3.61581;1.71776;
0.0680018;3.61138;1.71352;
0.0681018;3.61581;1.71776;
0.0682018;3.61138;1.71352;
0.0683018;3.61581;1.71776;
0.0684018;3.61138;1.71352;
0.0685018;3.61581;1.71776;
0.0686018;3.61138;1.71352;
0.0687018;3.61581;1.71776;
0.0688018;3.61138;1.71352;
0.0689018;3.61581;1.71776;
0.0690018;3.61138;1.71352;
0.0691018;3.61581;1.71776;
0.0692018;3.61138;1.71352;
0.0693018;3.61581;1.71776;
0.0694018;3.61138;1.71352;
0.0695018;3.61581;1.71776;
0.0696018;3.61138;1.71352;
0.0697018;3.61581;1.71776;
0.0698018;3.61138;1.71352;
0.0699018;3.61581;1.71776;
0.0700018;3.61138;1.71352;
0.0701018;3.61581;1.71776;
0.0702018;3.61138;1.71352;
0.0703018;3.61581;1.71776;
0.0704018;3.61138;1.71352;
0.0705018;3.61581;1.71776;
0.0706018;3.61138;1.71352;
0.0707018;3.61581;1.71776;
0.0708018;3.61138;1.71352;
0.0709018;3.61581;1.71776;
0.0710018;3.61138;1.71352;
0.0711018;3.61581;1.71776;
0.0712018;3.61138;1.71352;
0.0713018;3.61581;1.71776;
0.0714018;3.61138;1.71352;
0.0715018;3.61581;1.71776;
0.0716018;3.61138;1.71352;
0.0717018;3.61581;1.71776;
0.0718018;3.61138;1.71352;
0.0719018;3.61581;1.71776;
0.0720018;3.61138;1.71352;
0.0721018;3.61581;1.71776;
0.0722018;3.61138;1.71352;
0.0723018;3.61581;1.71776;
0.0724018;3.61138;1.71352;
0.0725018;3.61581;1.71776;
0.0726018;3.61138;1.71352;
0.0727018;3.61581;1.71776;
0.0728018;3.61138;1.71352;
0.0729018;3.61581;1.71776;
0.0730018;3.61138;1.71352;
0.0731018;3.61581;1.71776;
0.0732018;3.61138;1.71352;
0.0733018;3.61581;1.71776;
0.0734018;3.61138;1.71352;
0.0735018;3.61581;1.71776;
0.0736018;3.61138;1.71352;
0.0737018;3.61581;1.71776;
0.0738018;3.61138;1.71352;
0.0739018;3.61581;1.71776;
0.0740018;3.61138;1.71352;
0.0741018;3.61581;1.71776;
0.0742018;3.61138;1.71352;
