time;P(R3);
0.0922018;0.00889748;
0.0923018;0.00894138;
0.0924018;0.00889748;
0.0925018;0.00894138;
0.0926018;0.00889748;
0.0927018;0.00894138;
0.0928018;0.00889748;
0.0929018;0.00894138;
0.0930018;0.00889748;
0.0931018;0.00894138;
0.0932018;0.00889748;
0.0933018;0.00894138;
0.0934018;0.00889748;
0.0935018;0.00894138;
0.0936018;0.00889748;
0.0937018;0.00894138;
0.0938018;0.00889748;
0.0939018;0.00894138;
0.0940018;0.00889748;
0.0941018;0.00894138;
0.0942018;0.00889748;
0.0943018;0.00894138;
0.0944018;0.00889748;
0.0945018;0.00894138;
0.0946018;0.00889749;
0.0947018;0.00894138;
0.0948018;0.00889749;
0.0949018;0.00894138;
0.0950018;0.00889749;
0.0951018;0.00894138;
0.0952018;0.00889749;
0.0953018;0.00894137;
0.0954018;0.00889749;
0.0955018;0.00894137;
0.0956018;0.00889749;
0.0957018;0.00894137;
0.0958018;0.00889749;
0.0959018;0.00894137;
0.0960018;0.00889749;
0.0961018;0.00894137;
0.0962018;0.00889749;
0.0963018;0.00894137;
0.0964018;0.00889749;
0.0965018;0.00894137;
0.0966018;0.00889749;
0.0967018;0.00894137;
0.0968018;0.00889749;
0.0969018;0.00894137;
0.0970018;0.00889749;
0.0971018;0.00894137;
0.0972018;0.00889749;
0.0973018;0.00894137;
0.0974018;0.0088975;
0.0975018;0.00894137;
0.0976018;0.0088975;
0.0977018;0.00894137;
0.0978018;0.0088975;
0.0979018;0.00894137;
0.0980018;0.0088975;
0.0981018;0.00894137;
0.0982018;0.0088975;
0.0983018;0.00894136;
0.0984018;0.0088975;
0.0985018;0.00894136;
0.0986018;0.0088975;
0.0987018;0.00894136;
0.0988018;0.0088975;
0.0989018;0.00894136;
0.0990018;0.0088975;
0.0991018;0.00894136;
0.0992018;0.0088975;
0.0993018;0.00894136;
0.0994018;0.0088975;
0.0995018;0.00894136;
0.0996018;0.0088975;
0.0997018;0.00894136;
0.0998018;0.0088975;
